# test name	needs (hard; test names or NONE)	after (ordering that keeps an assertion meaningful, or -)	replays (copies run first in this component, or -)	replay reason and what replaces it (or -)	evidence
iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic	NONE	-	-	-	VERIFY 23b07d6e6 (template step 3): passes alone
postgres::postgres_tests::protected_replay_request_is_atomic_retry_exact_and_backtest_sealed	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
tests::postgres_protected_result_is_atomic_request_bound_and_qualification_sealed	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic,postgres::postgres_tests::protected_replay_request_is_atomic_retry_exact_and_backtest_sealed	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres::postgres_tests::negative_protected_attempt_closure_is_atomic_retry_exact_and_eligibility_absent	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic,postgres::postgres_tests::protected_replay_request_is_atomic_retry_exact_and_backtest_sealed,tests::postgres_protected_result_is_atomic_request_bound_and_qualification_sealed	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres::postgres_tests::diagnostic_protected_attempt_closure_is_atomic_and_creates_no_assessment_or_eligibility	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic,postgres::postgres_tests::protected_replay_request_is_atomic_retry_exact_and_backtest_sealed,tests::postgres_protected_result_is_atomic_request_bound_and_qualification_sealed,postgres::postgres_tests::negative_protected_attempt_closure_is_atomic_retry_exact_and_eligibility_absent	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
product_edge_postgres::tests::bounded_feature_program_joint_freeze_is_atomic_idempotent_and_tamper_closed	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
product_edge_postgres::tests::declared_bounded_feature_program_assembles_from_owner_custody_and_freezes	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap,tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres_migration_materializes_only_private_binary_authority	NONE	-	-	-	ABLATE 2dd2b43e9
sealed_read_port_is_restart_exact_fail_closed_and_query_only	NONE	-	-	-	ABLATE 2dd2b43e9
iteration_result_admission_postgres::tests::a_committed_admission_is_read_back_by_its_locator_and_never_created_by_one	NONE	-	-	-	ABLATE 2dd2b43e9
iteration_result_admission_postgres::tests::a_locator_from_another_experiment_never_reads_this_admission_back	NONE	-	-	-	ABLATE 2dd2b43e9
iteration_result_admission_postgres::tests::row_scalar_storage_or_outbox_tamper_closes_the_readback	NONE	-	-	-	ABLATE 2dd2b43e9
iteration_result_admission_postgres::tests::a_malformed_request_never_reaches_owner_custody	NONE	-	-	-	ABLATE 2dd2b43e9
postgres_owner_persists_one_family_and_replays_without_partial_conflict_writes	NONE	-	-	-	ABLATE 2dd2b43e9
every_v2_semantic_rejection_is_rejection_only_and_replays_exactly	NONE	-	-	-	ABLATE 2dd2b43e9
invalid_successor_cannot_poison_heads_and_verified_lineage_never_skips_corruption	NONE	-	-	-	ABLATE 2dd2b43e9
concurrent_invalid_and_valid_same_scope_serialize_without_invalid_authority	NONE	-	-	-	ABLATE 2dd2b43e9
exhaustive_lineage_waits_for_row_mutation_and_recovers_after_restore	NONE	-	-	-	ABLATE 2dd2b43e9
stored_request_meaning_corruption_is_unavailable_until_exact_restoration	NONE	-	-	-	ABLATE 2dd2b43e9
missing_research_custody_prepares_no_attempt	NONE	-	-	-	ABLATE 2dd2b43e9
research_and_attempt_resolve_share_one_deadlock_free_lock_order	NONE	postgres_owner_persists_one_family_and_replays_without_partial_conflict_writes,every_v2_semantic_rejection_is_rejection_only_and_replays_exactly,invalid_successor_cannot_poison_heads_and_verified_lineage_never_skips_corruption,concurrent_invalid_and_valid_same_scope_serialize_without_invalid_authority,exhaustive_lineage_waits_for_row_mutation_and_recovers_after_restore,stored_request_meaning_corruption_is_unavailable_until_exact_restoration,missing_research_custody_prepares_no_attempt	-	-	ABLATE 2dd2b43e9 alone; AFTER keeps its multi-principal lock surface (DEPS: 17 receipts live before it)
no_artifact_receipt_mutation_fails_closed_and_exact_restore_replays	NONE	-	-	-	ABLATE 2dd2b43e9
expired_attempt_receipt_is_independently_outcome_unknown	NONE	-	-	-	ABLATE 2dd2b43e9
market_data_repair_resolution_postgres::tests::repaired_readback_is_reverified_inside_successor_transaction	NONE	-	-	-	ABLATE 2dd2b43e9
market_data_repair_resolution_postgres::tests::commit_retry_resolve_conflict_and_tamper_are_atomic	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::portfolio_resource_grant_advisory_lock_serializes_distinct_grants	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::portfolio_resource_grant_issue_read_replay_successor_revoke_restart_acl_and_expiry	NONE	-	-	-	ABLATE 2dd2b43e9
artifact_build_postgres::postgres_freshness_tests::exact_stale_cut_blocks_every_artifact_transition_without_writes	NONE	-	-	-	ABLATE 2dd2b43e9
artifact_build_postgres::postgres_freshness_tests::stored_attempt_catalog_is_exactly_classifiable_without_writes	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
artifact_build_postgres::postgres_freshness_tests::opaque_legacy_success_is_classified_but_never_promoted	NONE	-	-	-	ABLATE 2dd2b43e9
artifact_build_postgres::postgres_freshness_tests::exact_origin_terminal_legacy_is_read_only_and_nonterminal_blocks_activation	NONE	-	-	-	ABLATE 2dd2b43e9
postgres_sealed_success_atomically_reads_back_distinct_time_heads_and_rejects_mismatches	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
transaction_bound_read_uses_the_borrowed_backend_locks_and_writes_nothing	NONE	-	-	-	ABLATE 2dd2b43e9
transaction_bound_read_rejects_wrong_owner_acl_and_stale_custody	NONE	-	-	-	ABLATE 2dd2b43e9
product_edge_postgres::tests::frozen_program_runs_the_production_composer_to_a_durable_artifact	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap,tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
replay_policy_catalog_postgres_v2::postgres_tests::catalog_v3_bootstrap_publishes_the_head_the_owner_reads_and_formation_binds	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::autonomous_policy_authorization_advisory_lock_serializes_distinct_authorizations	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::autonomous_policy_authorization_issue_read_replay_successor_revoke_restart_acl_and_expiry	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::postgres_successor_is_append_only_replay_safe_and_preserves_history	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::postgres_history_mutations_fail_closed_and_restore_exactly	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::shared_resolver_blocks_revoke_update_lock	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::select_only_consumer_resolve_serializes_with_revoke	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::tests::lifecycle_request_admission_is_typed_effect_free_and_replay_exact	NONE	-	-	-	ABLATE 2dd2b43e9
adapter_binding_postgres::tests::postgres_binding_custody_is_atomic_replay_safe_and_tamper_closed	NONE	-	-	-	ABLATE 2dd2b43e9
capacity_scope_postgres::tests::postgres_capacity_scope_registry_is_append_only_and_seals_one_bound_scope	NONE	-	-	-	ABLATE 2dd2b43e9
registry_postgres::postgres_proof::postgres_execution_scope_binds_only_what_both_source_owners_confirm	capacity_scope_postgres::tests::postgres_capacity_scope_registry_is_append_only_and_seals_one_bound_scope	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres::postgres_tests::protected_replay_request_sets_seal_every_terminal_lineage_and_close_registration	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
tests::postgres_protected_v3_results_and_attempt_frontiers_close_every_terminal_lineage	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic,postgres::postgres_tests::protected_replay_request_sets_seal_every_terminal_lineage_and_close_registration	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres::postgres_tests::protected_assessments_close_every_terminal_once_and_project_public_status	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic,postgres::postgres_tests::protected_replay_request_sets_seal_every_terminal_lineage_and_close_registration,tests::postgres_protected_v3_results_and_attempt_frontiers_close_every_terminal_lineage	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres::postgres_tests::protected_feedback_projection_readback_fails_closed_on_corruption_and_writes_nothing	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
owner::postgres::market_data_rd_api_authorization_postgres_tests::market_data_rd_api_admits_the_rd_owner_through_the_grant_layer_alone	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
owner::postgres::market_data_rd_api_authorization_postgres_tests::market_data_rd_api_refuses_the_backtest_owner_loudly_not_emptily	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::chain_proofs::terminal_receipt_custody_commits_joins_refuses_and_reads_back_to_product_edge	NONE	-	-	-	ABLATE 2dd2b43e9
postgres::chain_proofs::a_caller_without_the_grant_is_refused_rather_than_answered_empty	NONE	-	-	-	ABLATE 2dd2b43e9
capacity_read_port_postgres::postgres_proof::postgres_capacity_observation_seals_only_what_portfolio_currently_publishes	capacity_scope_postgres::tests::postgres_capacity_scope_registry_is_append_only_and_seals_one_bound_scope	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
tests::frozen_program_replays_over_http_to_the_same_joint_freeze	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap,tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once,product_edge_postgres::tests::declared_bounded_feature_program_assembles_from_owner_custody_and_freezes	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
tests::an_authored_design_is_published_bound_and_frozen_over_http	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap,tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY 2dd2b43e9
intent_lookup_does_not_lock_a_receipt_it_does_not_return	NONE	-	-	-	ABLATE 2dd2b43e9
postgres_error_message::postgres_tests::owner_storage_errors_carry_the_detail_postgres_sent	NONE	-	-	-	ABLATE 2dd2b43e9
product_edge_postgres::tests::second_request_under_one_principal_resolves_through_the_frontier_arm	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres::postgres_tests::sealed_request_reads_name_the_admission_they_refused	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic,postgres::postgres_tests::protected_replay_request_is_atomic_retry_exact_and_backtest_sealed	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres::postgres_tests::an_orphaned_projection_names_itself_rather_than_the_caller_request	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
postgres::postgres_tests::an_eligibility_fact_window_is_derived_and_its_lineage_is_enforced_by_storage	iteration_decision_postgres::postgres_acceptance_tests::positive_assessment_ready_decision_commit_retry_resolve_and_tamper_are_atomic,postgres::postgres_tests::protected_replay_request_sets_seal_every_terminal_lineage_and_close_registration,tests::postgres_protected_v3_results_and_attempt_frontiers_close_every_terminal_lineage,postgres::postgres_tests::protected_assessments_close_every_terminal_once_and_project_public_status	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
tests::the_authored_frozen_program_runs_the_production_composer	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap,tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once,postgres_sealed_success_atomically_reads_back_distinct_time_heads_and_rejects_mismatches,tests::an_authored_design_is_published_bound_and_frozen_over_http	-	-	-	VERIFY 2dd2b43e9
iteration_decision_postgres::postgres_acceptance_tests::backtest_run_report_postgres_acceptance_tests::backtest_run_report_reads_back_every_point_a_real_run_committed	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap,tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once,product_edge_postgres::tests::declared_bounded_feature_program_assembles_from_owner_custody_and_freezes,product_edge_postgres::tests::frozen_program_runs_the_production_composer_to_a_durable_artifact	-	-	-	VERIFY b13803466 (template step 3): closure passes, each need removed fails
tests::backtest_run_report_browser_acceptance_reads_the_owner_answer	iteration_decision_postgres::postgres_acceptance_tests::repair_decision_action_and_market_data_request_commit_retry_resolve_and_rejection_are_atomic,iteration_decision_postgres::postgres_acceptance_tests::backtest_run_report_postgres_acceptance_tests::backtest_run_report_reads_back_every_point_a_real_run_committed	-	-	-	VERIFY b13803466 (template step 3): {6,8,29,41,69,99} passes; without 29 or 99 fails; without 6, 8, 41 or 69 passes
postgres_readback_refuses_an_identity_admitted_for_another_operation	NONE	-	-	-	VERIFY a67eeacbe: passes alone
product_edge_postgres::tests::postgres_v3_request_binds_its_instrument_scope_into_the_intent	tests::same_identity_started_retry_returns_http_ok_with_exact_custody_once	-	-	-	VERIFY b13803466 (template step 3): {8} passes, alone fails
product_edge_postgres::tests::postgres_v3_scope_market_data_does_not_admit_closes_with_its_bound_check	NONE	-	-	-	VERIFY b13803466 (template step 3): passes alone
product_edge_postgres::tests::postgres_v3_request_market_data_cannot_place_is_rejected_by_its_own_answer	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap	-	-	-	VERIFY 40e955899 (template step 3): {6} passes, alone fails
deployment_acceptance::tests::deployment_fixture_is_admitted_idempotent_and_refuses_other_content_by_name	NONE	-	-	-	VERIFY b13803466 (template step 3): passes alone
iteration_decision_postgres::postgres_acceptance_tests::legacy_replay_request_passes_the_source_boundary_under_issuance_isolation	NONE	-	-	-	VERIFY 40e955899 (template step 3): passes alone
research_initial_pit_postgres_tests::a_v3_research_request_issues_its_initial_pit_request_over_http	owner::replay_market_facts_v2::postgres_tests::postgres_replay_composition_owner_is_atomic_exact_and_observes_reader_market_transaction_overlap	-	-	-	ABLATE 2b364ee1b (alone on a fresh cluster: fails at P1, unresolved without entry 6's Market Data frontier; after entry 6's component: passed, 21/21)
artifact_build_postgres::postgres_freshness_tests::legacy_prepared_drain_is_atomic_idempotent_and_read_only	NONE	-	-	-	ABLATE 2dd2b43e9 (destructive drain; last in its shard)
postgres_tests::the_operation_routing_read_port_answers_every_routing_state_over_http	NONE	-	-	-	ABLATE 6d086bdb3 (alone on a fresh cluster: passed, 1 test, 0 skipped)
dashboard_run_routing_acceptance::a_dashboard_run_starts_only_on_the_routing_the_writer_committed_and_reaches_the_owner	NONE	-	-	-	ABLATE 0b1ee3458 (alone on a fresh local cluster: passed, 1 test, 0 skipped)
